number,value,user_attrs_val_loss,params_transform,params_optimizer,params_lr,params_weight_decay,state
7,0.664,0.9976201453208924,strong,adam,0.0013680026640438435,0.00010405756445828192,COMPLETE
14,0.656,1.0044979500770568,strong,adam,0.0007533089813044666,0.0007188266319401238,COMPLETE
13,0.65,1.0197059574127196,strong,adam,0.0004713781710986975,0.0004013118483700493,COMPLETE
11,0.634,1.0574502029418946,strong,adam,0.00020656237543564937,0.00015333139338599073,COMPLETE
6,0.632,0.9812088661193847,strong,adam,0.00037690067861497454,8.940406226986236e-05,COMPLETE
10,0.63,1.017324504852295,strong,adam,0.0008042072884224774,0.0011690791350229897,COMPLETE
0,0.626,1.0347059431076049,strong,sgd,0.009776060291632041,3.352961196246302e-05,COMPLETE
3,0.626,1.111439694404602,strong,adam,0.0007427918361390087,0.005753491776573559,COMPLETE
5,0.62,1.0228270874023437,strong,adam,0.00020187298922633634,3.177300477477199e-05,COMPLETE
12,0.616,1.0894576869010926,strong,adam,0.0002387306071433539,0.00022771490153029975,COMPLETE
2,0.606,1.0928804273605346,mid,sgd,0.005259277666246969,1.7606427691556626e-05,COMPLETE
8,0.602,1.1168032417297362,mid,sgd,0.004380167898723541,0.009268852248425972,COMPLETE
1,0.598,1.1497406682968139,mid,sgd,0.015986942651002475,0.00019620516540344685,COMPLETE
4,0.596,1.1693596982955932,strong,sgd,0.006651411593170214,3.4688960083692524e-05,COMPLETE
15,0.562,1.1785338830947876,strong,adam,0.0010459679230782777,0.002574683282064955,COMPLETE
9,0.556,1.217585241317749,mid,adam,0.0016767702557902988,0.0009297631142147257,COMPLETE
