number,value,user_attrs_val_loss,user_attrs_early_stopped,user_attrs_best_epoch,user_attrs_trained_epochs,params_lr,params_weight_decay,state
15,0.738,0.8279758052825927,True,35,49,0.0009397699503480633,0.0009673080554065286,COMPLETE
8,0.714,0.8538237113952637,True,21,36,0.0006988520894547921,0.0007146649319423993,COMPLETE
16,0.71,0.8408203768730164,True,35,49,0.0010116815031392516,0.0009695295141512741,COMPLETE
7,0.71,0.956935170173645,True,23,38,0.000749509337061867,0.0001188026356740386,COMPLETE
18,0.71,0.86688263463974,True,30,44,0.00100193266806455,0.0007162444575708151,COMPLETE
11,0.7,0.948124324798584,True,23,38,0.0007123277257504488,0.00017385384873836677,COMPLETE
1,0.696,0.9638483157157898,True,18,33,0.0002470472760927843,0.0006663491700027286,COMPLETE
20,0.694,0.8862893085479736,True,33,47,0.0014406451584431394,0.0005095052758572672,COMPLETE
3,0.694,0.9915756044387818,True,21,36,0.00021970507642911081,0.00018372276936906836,COMPLETE
10,0.678,0.901638370513916,True,34,49,0.0014695987678955476,0.00098911407226939,COMPLETE
17,0.676,0.95306622838974,True,12,26,0.0005312159461427423,0.000688377165789005,COMPLETE
2,0.674,0.9839162616729736,True,15,30,0.0002694334863962378,0.0003023270910586542,COMPLETE
13,0.672,0.9860258207321168,True,18,33,0.0007567372001378072,5.069189886331421e-05,COMPLETE
12,0.668,0.9585532665252685,True,18,33,0.0006530636924945254,0.00021296612507337495,COMPLETE
9,0.666,0.9651166543960571,True,18,33,0.0010855935819192764,8.762755823153551e-05,COMPLETE
4,0.656,0.970789813041687,True,11,26,0.00029767789174555385,0.0005247033317873035,COMPLETE
0,0.654,1.0155254068374633,True,15,30,0.00021226369966693772,0.0004260973183137007,COMPLETE
14,0.65,0.9746182522773743,True,11,26,0.0004751924738027467,0.000284358452890313,COMPLETE
6,0.648,1.003696891784668,True,11,26,0.0004845897080019554,7.89402931953338e-05,COMPLETE
19,0.646,1.031029026031494,True,12,26,0.00034555293648414354,0.0004186320897859146,COMPLETE
5,0.642,1.0387151317596435,True,16,31,0.00020092421472888298,0.00010410853700577528,COMPLETE
